Input,Output
"Kaip Tu pats supranti tai?, Bet Tu suprask jeigu tu išmoksi pagal vadovėli, Tu pats nesuprasi, Dabar apie emocija","Ten paskutine pastraipa ir kitas puslapis, Na man dar kiek ankstoka sudarineti teorija, kai kuriais atvejais tai taip, bet kas liecia emocijas chemija tai mokslas jau gali tai paaiskinti., Tai as taip ir suprantu, Na jis zino ka kalba"
"Kai bus laiko po truputi panagrinėti, Galim pradėti, Čia jaučiu vien tai nagrinėti Reikia labai daug laiko, Kaip Gregg rašė, kad jausmai yra 2 baimė ar meilė iš kurios išsiskiria emocija, Manau yra skirtumas tarp jausmas ir emocija., Žinai dar klausimas, Bet ar emocija chemija ar emocijos metu išleidžiama chemija?",":D, :(, Privalgiau dveselenos dabar jauciuosi slyksciai"
"Per ilgai pastovėjo 😂, 😁😁😁",Turbut
Ilgai bloga buvo? Kokia mėsa valgei?,Kokia 5 val
O kaip šiandien?,Pirkau marinuota vistiena
"Aš skaitau apie tai, bet niekad konkrečiai nebuvau matęs ar nežinojau, Kaip gamina baltyma, Labai gerai parodo ląstelės struktūra, DNR ir Genus","I will have a look at this, a bit later on this afternoons"
"Okay 👌, Daug knygų rašo apie genus, DNR, ląsteles, bet kaip tai ištikruju atrodo įdomiai rodo","?, Ka darai"
"Kaip Tu?, Ir laukiu Kamiliuko, Žiūriu IP man filma","Kaip sekasi skaytiti?, :), Gyvas, Normaliai"
"Kol kas tik 55 puslapiai, Nes daug informacijos ir viska perrašyti reikia 😂, Blem lėtai 😂","I am lazy, :), O paskui kai reikia pasinaidoju index, As tai stengiuosi isiminti, Gaunasi, Tai letai, Ai. Nujo gi tu perrasai"
"Šiaip bent jau tokia knyga kaip Joe Dispenza, tai studijos, kai studijuoji neužtenka skaityti, Jeigu išeina prisiminti tai gerai. Bet kai perskaitysi kokia 100 knygų pasimesi😂",":), Na tau tuomet irgi reikia atskiro sasvinio kad susirasytum kur ka uzsirasiai, nes po 100 knygu konspektavimo bus kur ka paieskoti"
"Bet nemanau, kad būtų galima remtis, kad ir buvo atlikti moksliniai eksperimentai, Jisai ir moksliškai varto ištikro, Matai man galbūt reikės kažkada studijoms, Dabar i telefona, o paskui i kompa perkelsiu, Aš i. Sąsiuvini neberašau, nes supratau, kad daug reikėtu.","Na cia nieko blogo, kai perasinieji tau daugiau ir pameni"
"Daug kelių, nebūtinai visi tais pačiais, Taip man kažkaip geriau.
Kiekvienam skirtingai",:)
Žiūrėjai YouTube video?,"Labai detaliai, Good, Yes"
"Tiek daug reikia literatūros skaityti, Bet čia taip viskas gilu...","Kuo giliau i miska tuo daugiau medxiu, Na jo"
"Manau daug žmonių, atkartoja kitų žodžius, bet patys ""nušvinta""  ne tiesiogiai nušvinta, bet supranta tiesa po daug metų, Bruce lipton 75, Gregg 65, Dispenza 58 metai, Dispenza gal nėra jauniausias, Ir visa gyvenima tuo užsiima?, Pastebėjai, kad Gregg, Lipton, Dispenza, Sadhguru, Thick Nhat Hanh visi over 60?, Taip, naiviai anksčiau galvojau, kad daug žinau 😂, 😁😁😁",Nesidomejau labai giliai juju biografijomis bet dirbo neeilinius darbus neturejo neigiamu emociju tai ir ateodo good
"Bet turiu omenyje ne kaip atrodo, bet kad tik nesenai tapo žinomi, Netgi ir mes atkartojam kitų žodžius","Bet kadangi musu samone nebuvo susifokusavusi ties to tai mums zinomi jie tapo tik dabar, :), Na jie knygas leido jau senai, :), Taip hreiciau pasieki ko nori, Tai yra gerai kai eini pramintu keliu"
Galbūt teisingai sakai,"Toks kaip bruce lipton savo epiginetic pradejo senai, Jie jau yra zinomi senai"
"Neskaitysiu 😂😂, Wikipedia?, Prasidėjo senai dar kai Buda buvo 😂😂😂, Nu neteisingai parašiau. Tą prasme tapo žinomas 😁, Bet galbūt apskritai dvasinis kelias ištikro nėra senas","Dabar musu diedai bando atstatyti ta netvarka padaryta pries 500 metu, Su savo ideja jog kunas ir mintis yra atskiri dalykai, ir taip padejo pagrindus medicinai kokia siai diena yra, Daug pas mano decartes sukniso mums protus"
"Bet šiaip didžiąją pasaulio dalį pastatė ant vaistų ir farmacija varto milijardus..., Va džiaugiuosi Kamiliuko Kineziterapija kur be vaistų gydo..., Medicina tai pats supranti daug procentų pinigai, Kažka girdėjau per Gaia man rodos apie tai","Nu vienu zodziu, Tai jau tada daktarai buvo prestizas, Taip"
"Rytoj dirbi?, Susirašysim, Joa, jungiu tel","Tai tokiai zmoniu grupiai labai sunku pateikti dvasia ant lektes, Ir dar vienas salykas , kiek daug zmoniu yta tokio tipo mastymo, kad jeigu tai nemoklas tai netikra"
"Gero vakaro!, Nes kitaip nepripažins niekada, Dėl to ir einu mokintis psichologija, Taip pusbroli teisingai sakai","?, Labas , ka pusbroliukas veikia, Jums taip pat, Aciu"
"Kaip Tu?, Šiandien net neskaičiau..., Sveikas pusbroliukai, ai šiandien dėl Justuko ieškau variantų, kad atsiskraidinti. Klausiu tos, ka jinai mąsto dėl dėl pinigų jeigu pasiimsiu ir tt..",":), And then only joy, :), Yeeesss, Sendiena paskutine diena"
Pagaliau!,Freedom of the conciseness
"Man jau norisi iš namų išeiti 😂, Do what you want 😂","?, At tu jau vaikstai, Yes, And I can do what I don’t want my program to do"
"Jau užsakė tokia kaip elastine kojine, kai ateis bandysiu dėti pirmus žingsnius. Kaip kūdikis mokysiuosi kaip vaikščioti 😂, Su ramentais 😂😂, Do what you want and what you have to 😂","Svoriu jauciu irgi priaugai, :D"
"Normaliai žinok laikausi 😂, Nu, kad ne 😂","Ooooo,  stipri valia"
Ant kelenų darau atsispausdimus😂😂😂,"Godd morning, 

Atsikeles?, :)"
"How are you?, Yes!, Good morning!","So exited, I am ok first day of day off"
